category,university
国立,北海道大学
国立,北海道教育大学
国立,室蘭工業大学
国立,小樽商科大学
国立,帯広畜産大学
国立,旭川医科大学
国立,北見工業大学
国立,弘前大学
国立,岩手大学
国立,東北大学
国立,宮城教育大学
国立,秋田大学
国立,山形大学
国立,福島大学
国立,茨城大学
国立,筑波大学
国立,筑波技術大学
国立,宇都宮大学
国立,群馬大学
国立,埼玉大学
国立,千葉大学
国立,東京大学
国立,東京医科歯科大学
国立,東京外国語大学
国立,東京学芸大学
国立,東京農工大学
国立,東京芸術大学
国立,東京工業大学
国立,東京海洋大学
国立,お茶の水女子大学
国立,電気通信大学
国立,一橋大学
国立,横浜国立大学
国立,新潟大学
国立,長岡技術科学大学
国立,上越教育大学
国立,山梨大学
国立,信州大学
国立,政策研究大学院大学
国立,総合研究大学院大学
国立,富山大学
国立,金沢大学
国立,福井大学
国立,岐阜大学
国立,静岡大学
国立,浜松医科大学
国立,名古屋大学
国立,愛知教育大学
国立,名古屋工業大学
国立,豊橋技術科学大学
国立,三重大学
国立,滋賀大学
国立,滋賀医科大学
国立,京都大学
国立,京都教育大学
国立,京都工芸繊維大学
国立,大阪大学
国立,大阪教育大学
国立,兵庫教育大学
国立,神戸大学
国立,奈良教育大学
国立,奈良女子大学
国立,和歌山大学
国立,北陸先端科学技術大学院大学
国立,奈良先端科学技術大学院大学
国立,鳥取大学
国立,島根大学
国立,岡山大学
国立,広島大学
国立,山口大学
国立,徳島大学
国立,鳴門教育大学
国立,香川大学
国立,愛媛大学
国立,高知大学
国立,福岡教育大学
国立,九州大学
国立,九州工業大学
国立,佐賀大学
国立,長崎大学
国立,熊本大学
国立,大分大学
国立,宮崎大学
国立,鹿児島大学
国立,鹿屋体育大学
国立,琉球大学
私立,旭川大学
私立,札幌大学
私立,札幌大谷大学
私立,札幌学院大学
私立,札幌国際大学
私立,札幌保健医療大学
私立,千歳科学技術大学
私立,天使大学
私立,道都大学
私立,苫小牧駒澤大学
私立,日本医療大学
私立,日本赤十字北海道看護大学 
私立,函館大学
私立,藤女子大学
私立,北翔大学
私立,北星学園大学
私立,北海学園大学
私立,北海商科大学
私立,北海道医療大学
私立,北海道科学大学
私立,北海道情報大学 
私立,北海道文教大学 
私立,北海道薬科大学
私立,酪農学園大学
私立,稚内北星学園大学
私立,青森大学
私立,青森中央学院大学
私立,東北女子大学
私立,八戸学院大学 
私立,八戸工業大学
私立,弘前医療福祉大学
私立,弘前学院大学
私立,岩手医科大学
私立,富士大学
私立,盛岡大学
私立,石巻専修大学 
私立,尚絅学院大学
私立,仙台大学
私立,仙台白百合女子大学 
私立,東北学院大学 
私立,東北工業大学 
私立,東北生活文化大学
私立,東北福祉大学
私立,東北文化学園大学
私立,東北医科薬科大学
私立,宮城学院女子大学
私立,秋田看護福祉大学 
私立,日本赤十字秋田看護大学
私立,ノースアジア大学 
私立,東北芸術工科大学
私立,東北公益文科大学
私立,東北文教大学
私立,いわき明星大学
私立,奥羽大学
私立,郡山女子大学
私立,東日本国際大学
私立,福島学院大学 
私立,茨城キリスト教大学
私立,筑波学院大学
私立,つくば国際大学
私立,常磐大学
私立,日本ウェルネススポーツ大学
私立,流通経済大学
私立,足利工業大学
私立,宇都宮共和大学 
私立,国際医療福祉大学
私立,作新学院大学
私立,自治医科大学
私立,獨協医科大学
私立,白鴎大学
私立,文星芸術大学
私立,関東学園大学
私立,共愛学園前橋国際大学
私立,桐生大学
私立,群馬医療福祉大学
私立,群馬パース大学 
私立,上武大学
私立,高崎健康福祉大学
私立,高崎商科大学
私立,東京福祉大学
私立,浦和大学
私立,共栄大学 
私立,埼玉医科大学
私立,埼玉学園大学
私立,埼玉工業大学
私立,十文字学園女子大学
私立,城西大学
私立,尚美学園大学
私立,女子栄養大学
私立,駿河台大学
私立,聖学院大学
私立,西武文理大学
私立,東京国際大学
私立,東都医療大学
私立,東邦音楽大学
私立,獨協大学
私立,日本医療科学大学
私立,日本工業大学
私立,日本保健医療大学
私立,日本薬科大学 
私立,人間総合科学大学
私立,文教大学
私立,平成国際大学
私立,武蔵野学院大学
私立,明海大学
私立,開智国際大学
私立,ものつくり大学
私立,愛国学園大学
私立,植草学園大学
私立,江戸川大学
私立,亀田医療大学
私立,川村学園女子大学
私立,神田外語大学
私立,敬愛大学
私立,国際武道大学
私立,三育学院大学
私立,秀明大学
私立,淑徳大学
私立,城西国際大学
私立,聖徳大学
私立,清和大学 
私立,千葉科学大学
私立,千葉経済大学
私立,千葉工業大学
私立,千葉商科大学
私立,中央学院大学
私立,東京基督教大学
私立,東京情報大学
私立,了徳寺大学
私立,麗澤大学
私立,和洋女子大学
私立,麻布大学
私立,SBI大学院大学
私立,神奈川大学
私立,神奈川工科大学
私立,神奈川歯科大学
私立,鎌倉女子大学 
私立,関東学院大学 
私立,相模女子大学
私立,松蔭大学 
私立,湘南医療大学
私立,湘南工科大学 
私立,情報セキュリティ大学院大学
私立,昭和音楽大学 
私立,星槎大学
私立,聖マリアンナ医科大学
私立,洗足学園音楽大学
私立,鶴見大学
私立,田園調布学園大学
私立,桐蔭横浜大学
私立,東海大学
私立,東洋英和女学院大学
私立,日本映画大学
私立,フェリス女学院大学
私立,八洲学園大学
私立,横浜商科大学
私立,横浜創英大学
私立,横浜美術大学
私立,横浜薬科大学
私立,青山学院大学
私立,亜細亜大学
私立,跡見学園女子大学 
私立,上野学園大学
私立,桜美林大学
私立,大妻女子大学
私立,大原大学院大学
私立,嘉悦大学
私立,学習院大学 
私立,学習院女子大学
私立,北里大学
私立,共立女子大学
私立,杏林大学
私立,国立音楽大学
私立,グロービス経営大学院大学
私立,慶應義塾大学 
私立,恵泉女学園大学
私立,工学院大学
私立,國學院大學
私立,国際基督教大学
私立,国際仏教学大学院大学
私立,国士舘大学
私立,こども教育宝仙大学 
私立,駒澤大学
私立,駒沢女子大学
私立,産業能率大学
私立,事業構想大学院大学
私立,実践女子大学
私立,芝浦工業大学
私立,順天堂大学
私立,上智大学
私立,昭和大学
私立,昭和女子大学
私立,昭和薬科大学
私立,女子美術大学
私立,白梅学園大学
私立,白百合女子大学
私立,杉野服飾大学
私立,成蹊大学
私立,成城大学
私立,創価大学
私立,聖心女子大学
私立,清泉女子大学
私立,聖路加国際大学
私立,大正大学
私立,大東文化大学
私立,高千穂大学
私立,専修大学
私立,拓殖大学
私立,多摩大学
私立,玉川大学
私立,多摩美術大学
私立,中央大学
私立,津田塾大学
私立,帝京大学
私立,帝京科学大学
私立,帝京平成大学
私立,デジタルハリウッド大学
私立,東京有明医療大学
私立,東京医科大学
私立,東京医療学院大学
私立,東京医療保健大学
私立,東京音楽大学
私立,東京家政大学
私立,東京家政学院大学
私立,東京経済大学
私立,東京工科大学
私立,東京工芸大学
私立,東京歯科大学
私立,東京慈恵会医科大学
私立,東京純心大学
私立,東京女学館大学
私立,東京女子大学
私立,東京女子医科大学
私立,東京女子体育大学
私立,東京神学大学
私立,東京聖栄大学
私立,東京成徳大学
私立,東京造形大学
私立,東京電機大学
私立,東京都市大学
私立,東京農業大学
私立,東京富士大学
私立,東京未来大学
私立,東京薬科大学
私立,東京理科大学
私立,東邦大学
私立,桐朋学園大学
私立,東洋大学
私立,東洋学園大学
私立,二松學舍大学
私立,日本大学
私立,日本医科大学
私立,日本教育大学院大学
私立,日本歯科大学
私立,日本社会事業大学
私立,日本獣医生命科学大学
私立,日本女子大学
私立,日本女子体育大学
私立,日本赤十字看護大学
私立,日本体育大学
私立,日本文化大学
私立,ハリウッド大学院大学
私立,ビジネス・ブレークスルー大学
私立,文化学園大学
私立,文化ファッション大学院大学 
私立,文京学院大学
私立,法政大学
私立,星薬科大学
私立,武蔵大学
私立,武蔵野大学
私立,武蔵野音楽大学
私立,武蔵野美術大学
私立,明治大学
私立,明治学院大学
私立,明治薬科大学
私立,明星大学
私立,目白大学
私立,ヤマザキ学園大学
私立,立教大学
私立,立正大学
私立,ルーテル学院大学
私立,LEC東京リーガルマインド大学院大学
私立,和光大学
私立,早稲田大学
私立,敬和学園大学
私立,国際大学
